days,dt,cur_time_in_gmt,cpu_utilization_pctg,hour
3/1/2017 0:00,2/28/2017,3/1/2017 0:00,44.722,0
3/1/2017 1:00,2/28/2017,3/1/2017 1:00,61.944,1
3/1/2017 2:00,2/28/2017,3/1/2017 2:00,54.444,2
3/1/2017 3:00,2/28/2017,3/1/2017 3:00,52.355,3
3/1/2017 4:00,2/28/2017,3/1/2017 4:00,45,4
3/1/2017 5:00,2/28/2017,3/1/2017 5:00,36.944,5
3/1/2017 6:00,3/1/2017,3/1/2017 6:00,36.944,6
3/1/2017 7:00,3/1/2017,3/1/2017 7:00,36.111,7
3/1/2017 8:00,3/1/2017,3/1/2017 8:00,34.167,8
3/1/2017 9:00,3/1/2017,3/1/2017 9:00,37.778,9
3/1/2017 10:00,3/1/2017,3/1/2017 10:00,49.307,10
3/1/2017 11:00,3/1/2017,3/1/2017 11:00,55,11
3/1/2017 12:00,3/1/2017,3/1/2017 12:00,59.167,12
3/1/2017 13:00,3/1/2017,3/1/2017 13:00,76.667,13
3/1/2017 14:00,3/1/2017,3/1/2017 14:00,82.778,14
3/1/2017 15:00,3/1/2017,3/1/2017 15:00,57.778,15
3/1/2017 16:00,3/1/2017,3/1/2017 16:00,64.266,16
3/1/2017 17:00,3/1/2017,3/1/2017 17:00,68.333,17
3/1/2017 18:00,3/1/2017,3/1/2017 18:00,54.167,18
3/1/2017 19:00,3/1/2017,3/1/2017 19:00,47.5,19
3/1/2017 20:00,3/1/2017,3/1/2017 20:00,43.333,20
3/1/2017 21:00,3/1/2017,3/1/2017 21:00,40.556,21
3/1/2017 22:00,3/1/2017,3/1/2017 22:00,53.333,22
3/1/2017 23:00,3/1/2017,3/1/2017 23:00,46.814,23
3/2/2017 0:00,3/1/2017,3/2/2017 0:00,51.389,0
3/2/2017 1:00,3/1/2017,3/2/2017 1:00,63.333,1
3/2/2017 2:00,3/1/2017,3/2/2017 2:00,56.667,2
3/2/2017 3:00,3/1/2017,3/2/2017 3:00,61.111,3
3/2/2017 4:00,3/1/2017,3/2/2017 4:00,58.333,4
3/2/2017 5:00,3/1/2017,3/2/2017 5:00,65.097,5
3/2/2017 6:00,3/2/2017,3/2/2017 6:00,65.097,6
3/2/2017 7:00,3/2/2017,3/2/2017 7:00,47.222,7
3/2/2017 8:00,3/2/2017,3/2/2017 8:00,37.778,8
3/2/2017 9:00,3/2/2017,3/2/2017 9:00,42.222,9
3/2/2017 10:00,3/2/2017,3/2/2017 10:00,49.444,10
3/2/2017 11:00,3/2/2017,3/2/2017 11:00,53.611,11
3/2/2017 12:00,3/2/2017,3/2/2017 12:00,60.665,12
3/2/2017 13:00,3/2/2017,3/2/2017 13:00,76.389,13
3/2/2017 14:00,3/2/2017,3/2/2017 14:00,82.222,14
3/2/2017 15:00,3/2/2017,3/2/2017 15:00,60,15
3/2/2017 16:00,3/2/2017,3/2/2017 16:00,72.778,16
