days,dt,cur_time_in_gmt,cpu_utilization_pctg,hour,cpu_utilization_pctg_extrapolated,is_extrapolated
3/1/2017 0:00,2/28/2017,3/1/2017 0:00,44.722,0,44.722,FALSE
3/1/2017 1:00,2/28/2017,3/1/2017 1:00,61.944,1,61.944,FALSE
3/1/2017 2:00,2/28/2017,3/1/2017 2:00,54.444,2,54.444,FALSE
3/1/2017 3:00,2/28/2017,3/1/2017 3:00,52.355,3,52.355,FALSE
3/1/2017 4:00,2/28/2017,3/1/2017 4:00,45,4,45,FALSE
3/1/2017 5:00,2/28/2017,3/1/2017 5:00,36.944,5,36.944,FALSE
3/1/2017 6:00,3/1/2017,3/1/2017 6:00,,6,34.444,TRUE
3/1/2017 7:00,3/1/2017,3/1/2017 7:00,36.111,7,36.111,FALSE
3/1/2017 8:00,3/1/2017,3/1/2017 8:00,34.167,8,34.167,FALSE
3/1/2017 9:00,3/1/2017,3/1/2017 9:00,37.778,9,37.778,FALSE
3/1/2017 10:00,3/1/2017,3/1/2017 10:00,49.307,10,49.307,FALSE
3/1/2017 11:00,3/1/2017,3/1/2017 11:00,55,11,55,FALSE
3/1/2017 12:00,3/1/2017,3/1/2017 12:00,59.167,12,59.167,FALSE
3/1/2017 13:00,3/1/2017,3/1/2017 13:00,76.667,13,76.667,FALSE
3/1/2017 14:00,3/1/2017,3/1/2017 14:00,82.778,14,82.778,FALSE
3/1/2017 15:00,3/1/2017,3/1/2017 15:00,57.778,15,57.778,FALSE
3/1/2017 16:00,3/1/2017,3/1/2017 16:00,64.266,16,64.266,FALSE
3/1/2017 17:00,3/1/2017,3/1/2017 17:00,68.333,17,68.333,FALSE
3/1/2017 18:00,3/1/2017,3/1/2017 18:00,54.167,18,54.167,FALSE
3/1/2017 19:00,3/1/2017,3/1/2017 19:00,47.5,19,47.5,FALSE
3/1/2017 20:00,3/1/2017,3/1/2017 20:00,43.333,20,43.333,FALSE
3/1/2017 21:00,3/1/2017,3/1/2017 21:00,40.556,21,40.556,FALSE
3/1/2017 22:00,3/1/2017,3/1/2017 22:00,53.333,22,53.333,FALSE
3/1/2017 23:00,3/1/2017,3/1/2017 23:00,46.814,23,46.814,FALSE
3/2/2017 0:00,3/1/2017,3/2/2017 0:00,51.389,0,51.389,FALSE
3/2/2017 1:00,3/1/2017,3/2/2017 1:00,63.333,1,63.333,FALSE
3/2/2017 2:00,3/1/2017,3/2/2017 2:00,56.667,2,56.667,FALSE
3/2/2017 3:00,3/1/2017,3/2/2017 3:00,61.111,3,61.111,FALSE
3/2/2017 4:00,3/1/2017,3/2/2017 4:00,58.333,4,58.333,FALSE
3/2/2017 5:00,3/1/2017,3/2/2017 5:00,65.097,5,65.097,FALSE
3/2/2017 6:00,3/2/2017,3/2/2017 6:00,,6,34.444,TRUE
3/2/2017 7:00,3/2/2017,3/2/2017 7:00,47.222,7,47.222,FALSE
3/2/2017 8:00,3/2/2017,3/2/2017 8:00,37.778,8,37.778,FALSE
3/2/2017 9:00,3/2/2017,3/2/2017 9:00,42.222,9,42.222,FALSE
3/2/2017 10:00,3/2/2017,3/2/2017 10:00,49.444,10,49.444,FALSE
3/2/2017 11:00,3/2/2017,3/2/2017 11:00,53.611,11,53.611,FALSE
3/2/2017 12:00,3/2/2017,3/2/2017 12:00,60.665,12,60.665,FALSE
3/2/2017 13:00,3/2/2017,3/2/2017 13:00,76.389,13,76.389,FALSE
3/2/2017 14:00,3/2/2017,3/2/2017 14:00,82.222,14,82.222,FALSE
